experience,initial_rating,n_words,paper_id,rating,review_id,thoroughness
2.0,3,426.0,Hkekl0NFPr,6,S1e9hdUBcS,2.0
1.0,6,336.0,Hkekl0NFPr,6,rJe6njy0KH,3.0
0.0,6,231.0,Hkekl0NFPr,6,r1gh9fvAYB,2.0
2.0,3,1347.0,H1g7sxHKPr,3,B1x3gsk0YS,3.0
2.0,3,534.0,H1g7sxHKPr,3,SJxSKxQs9S,2.0
0.0,1,776.0,H1g7sxHKPr,1,rygxKvn-9B,1.0
1.0,6,347.0,rJeg7TEYwB,6,HklFB48pFr,2.0
1.0,6,214.0,rJeg7TEYwB,6,rJlnxSdzoH,3.0
3.0,3,699.0,rJeg7TEYwB,6,BJluIJRpYS,3.0
1.0,1,237.0,HylKvyHYwS,3,Sye1YXKatH,3.0
1.0,3,382.0,HylKvyHYwS,3,S1xcdBLAtB,2.0
1.0,1,625.0,HylKvyHYwS,3,SylCPVKnFH,3.0
1.0,6,382.0,Hyl8yANFDB,6,rJx71n4AtS,3.0
2.0,3,925.0,Hyl8yANFDB,3,SkenPkootB,2.0
0.0,6,97.0,Hyl8yANFDB,6,rklkuYFl5r,1.0
2.0,6,180.0,rJeXS04FPH,6,Syl00P_TFH,3.0
0.0,3,292.0,rJeXS04FPH,3,HJgUu7or9B,2.0
1.0,3,368.0,rJeXS04FPH,6,SJeIxKeYqr,2.0
0.0,6,134.0,rklTmyBKPH,6,r1x08lBvYB,1.0
1.0,3,408.0,rklTmyBKPH,6,S1xI2WlfYH,0.0
1.0,6,397.0,rklTmyBKPH,6,SkekZOLsKB,2.0
3.0,6,310.0,SyevYxHtDB,8,BJx6LZr0tB,2.0
1.0,3,301.0,SyevYxHtDB,3,r1ef7Qn-jr,2.0
0.0,6,104.0,SyevYxHtDB,6,SygLUkwTFr,1.0
3.0,3,265.0,Hyes70EYDB,3,S1eSBR_CtH,1.0
2.0,3,239.0,Hyes70EYDB,3,rJlQeu8GiB,3.0
1.0,6,213.0,Hyes70EYDB,6,rkeeRAvCtB,3.0
2.0,6,775.0,BJlrZyrKDB,8,rkgorCQj5B,3.0
0.0,6,182.0,BJlrZyrKDB,6,S1xcj6rAKH,2.0
0.0,1,82.0,BJlrZyrKDB,3,B1eTWxW2FB,2.0
3.0,8,600.0,BJlrZyrKDB,8,Bkxs5ykUcB,3.0
3.0,6,136.0,BJlrZyrKDB,6,SyekXJ1AYH,1.0
0.0,1,233.0,SygagpEKwB,1,ryxyH98XYr,2.0
1.0,6,229.0,SygagpEKwB,6,r1x0CupCYH,2.0
1.0,6,310.0,SygagpEKwB,6,SJeN77VTYH,2.0
2.0,3,1172.0,Sye57xStvB,6,H1lEldIhtH,3.0
1.0,8,248.0,Sye57xStvB,8,SJlUtgf2Yr,2.0
0.0,6,156.0,Sye57xStvB,6,rkgUCLxTKr,2.0
0.0,6,195.0,ByeUBANtvB,6,B1x2cMt5KS,2.0
1.0,3,1493.0,ByeUBANtvB,6,rylITWMqKS,3.0
3.0,3,889.0,ByeUBANtvB,6,r1l1YdnaFS,3.0
1.0,1,148.0,rJgE9CEYPS,1,B1eyMbYEcr,2.0
1.0,6,278.0,rJgE9CEYPS,6,S1gD7AVC9B,3.0
1.0,3,875.0,rJgE9CEYPS,3,r1l-AFjntS,3.0
2.0,6,203.0,rJgE9CEYPS,6,H1eS1vpA5B,2.0
1.0,6,422.0,S1efAp4YvB,6,HJetEzXCur,2.0
2.0,1,226.0,S1efAp4YvB,1,BJlJ2kGpKH,2.0
2.0,3,823.0,S1efAp4YvB,3,HJetz7Yp5r,2.0
3.0,1,281.0,SJxyCRVKvB,3,Skx4mNVt9B,2.0
2.0,6,195.0,SJxyCRVKvB,6,Sygod8Oeqr,2.0
2.0,6,355.0,SJxyCRVKvB,8,H1e0Fk7A5r,2.0
3.0,3,364.0,ryeFzT4YPr,3,rkx502giYS,2.0
2.0,6,306.0,ryeFzT4YPr,6,S1gLWa9UcB,2.0
1.0,3,594.0,ryeFzT4YPr,3,Hyg_7QhvFH,2.0
3.0,3,329.0,S1xRxgSFvH,3,ByeCD0Ritr,2.0
0.0,3,339.0,S1xRxgSFvH,3,HJxWWgojYr,2.0
3.0,1,446.0,S1xRxgSFvH,1,rkebzlRTKB,3.0
3.0,3,534.0,r1eVXa4KvH,3,BJxY2KeTtH,2.0
2.0,3,139.0,r1eVXa4KvH,3,S1xczKie9S,2.0
3.0,1,350.0,r1eVXa4KvH,1,SJe97j5FKr,2.0
3.0,3,373.0,r1xQNlBYPS,3,H1g0adr3Kr,3.0
2.0,3,266.0,r1xQNlBYPS,3,S1gYvmxpFB,2.0
1.0,1,236.0,r1xQNlBYPS,1,SJlT6ASJcS,3.0
3.0,3,285.0,H1g6kaVKvH,3,rke-ypoCFS,2.0
2.0,6,600.0,H1g6kaVKvH,3,Skl8qrtstB,3.0
2.0,3,731.0,H1g6kaVKvH,3,BJgJKvDaYB,2.0
2.0,1,166.0,BJeHFlBYvB,1,rketMe-yqS,2.0
3.0,3,244.0,BJeHFlBYvB,3,Byl9P6h2FB,3.0
1.0,3,335.0,BJeHFlBYvB,3,rJlbi-wAtr,2.0
1.0,3,194.0,Bkx1mxSKvB,3,r1x-LlrnFH,1.0
2.0,1,355.0,Bkx1mxSKvB,3,rJgSrGqM5S,1.0
1.0,3,376.0,Bkx1mxSKvB,3,SkgIDMbRYS,3.0
2.0,1,242.0,BJxpbREKvB,1,B1xjB-Yy5S,2.0
2.0,1,450.0,BJxpbREKvB,1,ByxF0ag9YS,2.0
2.0,3,298.0,BJxpbREKvB,3,HJeMYXyAFS,2.0
1.0,1,448.0,HygPjlrYvB,3,Bke8e-RTFS,2.0
2.0,3,239.0,HygPjlrYvB,3,SylW40kRFH,2.0
2.0,6,421.0,HygPjlrYvB,6,HkxCbL-e9H,3.0
3.0,3,376.0,SJlbyCNtPr,3,rJxHfKlVqB,3.0
1.0,3,205.0,SJlbyCNtPr,3,S1x5kUA3FB,1.0
1.0,6,315.0,SJlbyCNtPr,6,HJlA08HWcH,2.0
3.0,6,313.0,Byg_vREtvB,6,SyeK3VXTYS,2.0
2.0,1,500.0,Byg_vREtvB,3,HJeLOilLtr,2.0
1.0,3,393.0,Byg_vREtvB,6,r1xgFEvWqH,2.0
2.0,6,917.0,Bke_DertPB,6,Hkl6hcj55H,3.0
1.0,1,1257.0,Bke_DertPB,6,H1xTs6z6qH,2.0
2.0,6,238.0,Bke_DertPB,6,SJlkWrqe5S,1.0
3.0,6,1611.0,HJxR7R4FvS,6,r1edoAD6tS,3.0
2.0,6,355.0,HJxR7R4FvS,6,SyxRaUE0Yr,2.0
3.0,8,154.0,HJxR7R4FvS,8,rJe1xRyEKH,2.0
1.0,8,138.0,rkgvXlrKwH,8,S1g1dnlAYS,2.0
0.0,6,109.0,rkgvXlrKwH,6,S1lmYz5Ycr,2.0
1.0,8,204.0,rkgvXlrKwH,8,Byg1qYe5qS,3.0
1.0,6,327.0,B1xxAJHFwS,6,HJxVNuXatB,2.0
1.0,3,428.0,B1xxAJHFwS,3,B1l0WBG3tB,2.0
1.0,6,169.0,B1xxAJHFwS,6,HJeNiNNRYS,1.0
3.0,3,216.0,SJldu6EtDS,3,rkeJnoruKS,3.0
2.0,8,358.0,SJldu6EtDS,8,BJx9vswatr,2.0
3.0,6,245.0,SJldu6EtDS,6,rylCRiKCYS,3.0
1.0,6,182.0,rJlnxkSYPS,6,B1etG5Xntr,2.0
2.0,6,504.0,rJlnxkSYPS,6,HJgjIIMDtS,3.0
0.0,6,105.0,rJlnxkSYPS,6,SyeYFWMb9r,2.0
0.0,6,291.0,Hyx0slrFvH,6,rJxa1xZHcr,0.0
0.0,6,194.0,Hyx0slrFvH,6,rJehYBRCFH,2.0
2.0,3,338.0,Hyx0slrFvH,6,ryl5_mkRKr,2.0
1.0,1,151.0,BJlaG0VFDH,3,Byx5P39pKB,2.0
2.0,8,117.0,BJlaG0VFDH,8,rkeT1bLCFH,3.0
2.0,3,336.0,BJlaG0VFDH,3,B1xn2oQs5r,2.0
2.0,3,473.0,rygMWT4twS,3,ByelWUL8qS,2.0
1.0,1,390.0,rygMWT4twS,1,ByejMHG6FS,2.0
0.0,3,281.0,rygMWT4twS,3,Bkx-GC8K5B,2.0
1.0,6,364.0,rygMWT4twS,6,S1gLjxYg9H,2.0
2.0,1,529.0,BJlITC4KDB,1,Bkee3UlGcB,3.0
3.0,3,394.0,BJlITC4KDB,3,Sygq8TiaKB,3.0
2.0,1,567.0,BJlITC4KDB,1,rJxuXvkhtH,3.0
3.0,3,616.0,SyezSCNYPB,3,HJxsmxLE9S,2.0
3.0,3,800.0,SyezSCNYPB,3,B1ldFEHFdH,2.0
3.0,3,442.0,SyezSCNYPB,3,B1gjLKW0FB,2.0
2.0,3,423.0,BkgCv1HYvB,3,Bye6JV5cYr,3.0
2.0,6,363.0,BkgCv1HYvB,6,BklB71JS5H,2.0
3.0,3,253.0,BkgCv1HYvB,3,HklrJnbpFr,2.0
1.0,1,154.0,rkxWpCNKvS,1,SJgZAoMH9S,2.0
2.0,1,123.0,rkxWpCNKvS,1,SylmDA_-FS,2.0
1.0,1,172.0,rkxWpCNKvS,1,ryg1OCnTtr,3.0
2.0,1,215.0,ryey1TNKvH,1,SylazW995S,2.0
1.0,1,323.0,ryey1TNKvH,1,S1evBbqCKB,3.0
3.0,3,247.0,ryey1TNKvH,3,B1xfH9nnYB,2.0
1.0,3,181.0,Ske5UANYDB,3,rJeZ9nU15S,2.0
3.0,1,220.0,Ske5UANYDB,1,rklTS2CAKS,3.0
1.0,6,90.0,Ske5UANYDB,6,rJl9DU5MoH,2.0
2.0,3,415.0,rJl05AVtwB,3,B1e8GSdatH,2.0
3.0,6,659.0,rJl05AVtwB,6,SJxy62zaFB,2.0
2.0,1,377.0,rJl05AVtwB,1,BJeCB_sT_H,2.0
0.0,6,105.0,HkgH0TEYwH,6,Byl7mCRpFr,2.0
2.0,6,335.0,HkgH0TEYwH,6,BylBYZcAFH,2.0
1.0,6,225.0,HkgH0TEYwH,6,B1xf_hzkqS,2.0
2.0,1,433.0,H1lVIxHtPS,1,Syx_U3GWqB,3.0
2.0,3,604.0,H1lVIxHtPS,3,HygUdt80FB,3.0
2.0,1,285.0,H1lVIxHtPS,1,rkx8iRA-qS,3.0
2.0,1,107.0,rJgqjREtvS,1,ryxYnhNCFB,2.0
3.0,1,182.0,rJgqjREtvS,1,ryxv0ry1qr,3.0
3.0,3,196.0,rJgqjREtvS,3,BJxXb346Fr,3.0
3.0,3,533.0,H1gHb1rFwr,3,Sylz5pxycr,3.0
3.0,3,314.0,H1gHb1rFwr,3,r1lcfqfsYS,2.0
1.0,8,395.0,H1gHb1rFwr,8,rklYN27c9H,2.0
1.0,6,673.0,BJeKwTNFvB,6,rkxP3xuEYB,2.0
3.0,6,726.0,BJeKwTNFvB,6,S1xGzyBJcH,3.0
2.0,6,748.0,BJeKwTNFvB,6,ryeX_6kAtH,2.0
2.0,6,468.0,SJgVU0EKwS,6,S1lyvcKksB,3.0
2.0,6,704.0,SJgVU0EKwS,6,BJlTMlMpFB,0.0
2.0,3,270.0,SJgVU0EKwS,6,HkeV9s_jFr,2.0
3.0,1,758.0,H1lyRpEFPB,1,S1lKHaCpYB,3.0
3.0,3,435.0,H1lyRpEFPB,3,HJxQcGJLYr,2.0
1.0,1,361.0,H1lyRpEFPB,1,rylNCB_pFr,2.0
3.0,3,830.0,rylrdxHFDr,6,HJeDsmmIqS,2.0
2.0,1,1058.0,rylrdxHFDr,3,r1gjKT42Kr,2.0
3.0,8,579.0,rylrdxHFDr,8,rkgo-346tS,3.0
2.0,8,227.0,rJgzzJHtDB,8,ryeFuGK1qH,2.0
1.0,3,334.0,rJgzzJHtDB,3,HJgVmFG6qH,1.0
2.0,8,366.0,rJgzzJHtDB,8,HyxN_BoaFr,3.0
2.0,3,634.0,ryl3ygHYDB,6,HJlG50bnqr,3.0
2.0,3,648.0,ryl3ygHYDB,6,Bkgyu_mq5r,3.0
1.0,6,589.0,ryl3ygHYDB,6,SJla8mLA_r,3.0
2.0,6,275.0,ryl3ygHYDB,6,S1eyoo0F9B,2.0
1.0,3,220.0,HylYtaVtwS,3,r1xKAqnDYr,2.0
1.0,1,190.0,HylYtaVtwS,1,rJe2abh0FB,3.0
1.0,3,457.0,HylYtaVtwS,3,HkgRgtFmqB,2.0
2.0,6,513.0,SylOlp4FvH,6,r1guwy_2FB,2.0
1.0,6,600.0,SylOlp4FvH,6,SyeDKDGJcr,2.0
1.0,6,289.0,SylOlp4FvH,6,HJg9i7Sl5r,2.0
1.0,8,230.0,SJlM0JSFDr,8,SJeRYDrnYr,1.0
1.0,3,696.0,SJlM0JSFDr,3,SyeZTEeEFH,2.0
1.0,3,594.0,SJlM0JSFDr,3,SJlXXDdAcr,2.0
1.0,6,420.0,HyeSin4FPB,6,rJgsfMWpYH,2.0
2.0,6,543.0,HyeSin4FPB,6,rkeA9bdX5r,2.0
1.0,8,451.0,HyeSin4FPB,8,Sye8KBAe9B,2.0
1.0,3,478.0,SJlVY04FwH,6,B1lJvI1CKH,2.0
0.0,3,264.0,SJlVY04FwH,3,S1gglldXqB,2.0
3.0,8,678.0,SJlVY04FwH,8,SJepczfJ5r,3.0
1.0,8,525.0,Hkxzx0NtDB,8,HJlmF6qoOr,3.0
1.0,8,283.0,Hkxzx0NtDB,8,Hklnbfn6tr,3.0
1.0,3,259.0,Hkxzx0NtDB,6,Skglf_h_9H,2.0
0.0,6,159.0,rkeeoeHYvr,6,HyeN5T9AtS,1.0
1.0,3,316.0,rkeeoeHYvr,3,S1lpcqm6YS,2.0
1.0,3,551.0,rkeeoeHYvr,3,Byg5OXlgcr,3.0
0.0,3,244.0,H1eY00VFDB,3,rygRVjNAFr,1.0
1.0,6,441.0,H1eY00VFDB,8,rJePCn43YB,0.0
3.0,1,474.0,BJg_FgBtPH,1,HkxnogLCtS,2.0
3.0,1,525.0,BJg_FgBtPH,1,B1xtYKURYr,2.0
3.0,3,569.0,BJg_FgBtPH,3,SkewX5bxcr,3.0
1.0,3,310.0,H1egcgHtvB,3,Bye3SopL9H,3.0
1.0,6,386.0,H1egcgHtvB,6,HJgoWTUpYH,3.0
1.0,1,192.0,H1egcgHtvB,1,B1eU620Z9S,2.0
3.0,3,87.0,SJlVVAEKwS,3,BklEYLy0tS,1.0
0.0,3,344.0,SJlVVAEKwS,3,SkeKJn8y5H,2.0
2.0,6,197.0,SJlVVAEKwS,6,BJxYga09Kr,3.0
2.0,6,376.0,HJgCF0VFwr,6,ByefJP6lqH,2.0
2.0,3,301.0,HJgCF0VFwr,6,Byxg4B70KB,2.0
1.0,6,519.0,HJgCF0VFwr,6,BJlTymjYcH,3.0
2.0,3,477.0,HJx-akSKPS,3,SylbC532YB,3.0
0.0,3,291.0,HJx-akSKPS,3,r1x1gwAcYH,2.0
3.0,3,428.0,HJx-akSKPS,3,Hkeg_NnxoB,2.0
2.0,8,684.0,S1efxTVYDr,8,Hkx6OwB0YB,3.0
3.0,6,291.0,S1efxTVYDr,8,H1gsgn90YB,3.0
1.0,6,557.0,S1efxTVYDr,8,SkeC04MptH,2.0
3.0,3,835.0,BklSv34KvB,3,B1xaxyLZ9r,2.0
1.0,3,314.0,BklSv34KvB,3,BJeM3ENTYB,2.0
0.0,6,325.0,BklSv34KvB,6,r1lfkyNrtS,3.0
1.0,1,370.0,rJgWiaNtwH,1,SJxDQb2HtS,2.0
2.0,1,1057.0,rJgWiaNtwH,1,SklIrvyAKB,3.0
1.0,1,203.0,rJgWiaNtwH,1,S1ln6efkcr,2.0
1.0,8,227.0,HkgaETNtDB,8,S1elsTST9S,2.0
1.0,3,329.0,HkgaETNtDB,6,BJxftmXRqS,2.0
1.0,6,92.0,HkgaETNtDB,6,HkgxWvcTKS,2.0
3.0,3,504.0,Skeh-xBYDH,3,H1gUil1TYS,2.0
1.0,3,565.0,Skeh-xBYDH,3,Bkg_Pp2rcB,2.0
0.0,6,469.0,S1xtORNFwH,6,BkehCgjltr,1.0
1.0,6,316.0,S1xtORNFwH,6,B1l0SlB6YS,2.0
3.0,1,616.0,BklhsgSFvB,1,SJxJYVNg9S,3.0
3.0,3,146.0,BklhsgSFvB,3,SyluxUeL5r,2.0
1.0,3,245.0,BklhsgSFvB,3,r1xqvc3uqr,2.0
2.0,3,501.0,BklhsgSFvB,3,ByxJhPKOqS,2.0
3.0,3,322.0,Bkgv71rtwr,3,B1gFYSc-5r,2.0
2.0,3,366.0,Bkgv71rtwr,3,BygSHuB9OB,3.0
3.0,3,789.0,Bkgv71rtwr,3,HJgFH130Kr,3.0
2.0,6,429.0,S1ewjhEFwr,6,S1eQmrWAqr,2.0
0.0,3,191.0,S1ewjhEFwr,3,H1lVKaN15B,2.0
1.0,3,744.0,S1ewjhEFwr,3,rJg3jfxlcH,2.0
1.0,3,367.0,BJlguT4YPr,6,S1xi_7koYB,0.0
2.0,3,272.0,BJlguT4YPr,6,BklxFnq2YS,2.0
2.0,6,314.0,BJlguT4YPr,6,S1lWRZMTYS,3.0
1.0,6,359.0,rkeO-lrYwr,6,HygFbYdatS,3.0
1.0,3,454.0,rkeO-lrYwr,3,HyxwWTFAOS,2.0
1.0,6,282.0,r1l-VeSKwS,6,H1lWBP4oFH,3.0
2.0,6,171.0,r1l-VeSKwS,6,rkxCcRlYtH,2.0
1.0,3,656.0,r1l-VeSKwS,3,SkxDlf-ttr,2.0
3.0,6,259.0,SJl5Np4tPr,6,SkeKjHmiYB,3.0
2.0,6,266.0,SJl5Np4tPr,6,Hke1yO9d9B,3.0
1.0,6,303.0,SJl5Np4tPr,6,r1x2xr675r,2.0
1.0,3,141.0,Hyepjh4FwB,3,r1evmU2pFr,2.0
0.0,6,214.0,Hyepjh4FwB,6,Byx38twAYH,2.0
1.0,3,302.0,Hyepjh4FwB,3,HJlFcFhb9H,2.0
1.0,6,789.0,rJg8TeSFDH,6,HkxH37tRFH,3.0
2.0,8,352.0,rJg8TeSFDH,8,HJxfYraZsB,2.0
2.0,6,361.0,rJg8TeSFDH,6,rJlhm_ETtH,2.0
3.0,3,1482.0,H1eRI04KPB,3,SkgVejq6YB,2.0
1.0,1,739.0,H1eRI04KPB,3,rkgJFSRMqH,2.0
3.0,3,501.0,H1eRI04KPB,3,Hkx20h-RcB,1.0
2.0,1,268.0,ByxSdh4tPS,3,HJeVQyiTFB,3.0
1.0,1,240.0,ByxSdh4tPS,1,Bkgxr7lYYB,2.0
0.0,3,198.0,ByxSdh4tPS,3,ByegMwgRtB,1.0
3.0,3,433.0,BygZARVFDH,3,rJlCDEff9B,3.0
2.0,3,910.0,BygZARVFDH,6,B1xh7lI6FS,2.0
2.0,6,342.0,BygZARVFDH,6,S1gYB0cAKH,3.0
2.0,6,215.0,BJlxdCVKDB,6,Skl_trsoFr,3.0
2.0,3,725.0,BJlxdCVKDB,6,BygPnwlTtH,3.0
1.0,3,396.0,BJlxdCVKDB,3,rJgr4h0jYr,3.0
1.0,6,274.0,H1lyiaVFwB,6,SkxxhWRZqS,2.0
3.0,6,242.0,H1lyiaVFwB,6,HJl0wPBLqr,2.0
2.0,1,250.0,H1lyiaVFwB,1,B1xtcdeTFH,3.0
1.0,1,447.0,r1l0VCNKwB,1,Hyg0GawAqB,3.0
0.0,6,254.0,r1l0VCNKwB,6,rylH1m2AKr,1.0
3.0,3,369.0,r1l0VCNKwB,3,Hkgt6CCpKH,3.0
3.0,6,788.0,S1e4Q6EtDH,8,BklnwAZF_r,3.0
2.0,3,96.0,S1e4Q6EtDH,3,Syxic2OTYr,3.0
2.0,6,232.0,S1e4Q6EtDH,6,HJe4_DGZ9S,2.0
2.0,3,348.0,HyxakgrFvS,3,B1l0Cvg7cH,3.0
3.0,3,203.0,HyxakgrFvS,3,r1xOFleHFB,3.0
2.0,3,285.0,HyxakgrFvS,3,Syl5MXaaFr,2.0
0.0,6,173.0,BJeB5hVtvB,6,rkgRPJHRYr,2.0
1.0,6,494.0,BJeB5hVtvB,6,r1llj41atS,2.0
1.0,6,150.0,BJeB5hVtvB,6,HkxX4zVCKB,2.0
1.0,6,332.0,rkeu30EtvS,6,Bklx8agbqS,2.0
2.0,8,273.0,rkeu30EtvS,8,BJgMW2npKH,2.0
1.0,8,182.0,rkeu30EtvS,8,r1lY9K6aYS,3.0
2.0,6,717.0,BJe_z1HFPr,6,Syl6fYR_OH,3.0
3.0,3,499.0,BJe_z1HFPr,3,HJeQ86Ug9r,3.0
1.0,3,457.0,BJe_z1HFPr,3,BygNawPTYS,2.0
1.0,3,355.0,SJgSflHKDr,3,H1euOzraKS,2.0
1.0,3,246.0,SJgSflHKDr,3,B1goCQ9J9B,2.0
2.0,3,232.0,SJgSflHKDr,3,ryx1DuaTKr,3.0
1.0,1,331.0,BklVA2NYvH,1,S1luKEChtB,2.0
1.0,1,133.0,BklVA2NYvH,1,HygB_6lkqB,1.0
1.0,6,152.0,BklVA2NYvH,6,rkg4GwQTYH,2.0
3.0,6,942.0,HkewNJStDr,6,BJgRgt7j5r,2.0
1.0,3,322.0,HkewNJStDr,3,BkeUyj9z5r,2.0
2.0,3,169.0,HkewNJStDr,3,Hyg-tqxRtr,2.0
0.0,6,259.0,HJe_Z04Yvr,6,HJgiTy_GsB,2.0
0.0,6,280.0,HJe_Z04Yvr,6,ByeD9kIN5S,2.0
3.0,6,247.0,HJe_Z04Yvr,6,B1xU8is7qS,2.0
3.0,3,451.0,rJgFjREtwr,3,SJxdo8dRYB,3.0
1.0,3,958.0,rJgFjREtwr,3,HJeWjl3VcB,3.0
2.0,6,334.0,rJgFjREtwr,6,HJgtwEXBYS,3.0
1.0,3,597.0,Byg9AR4YDB,3,ryxXuMHAtH,2.0
1.0,6,123.0,Byg9AR4YDB,6,SyO0QgHqr,2.0
1.0,3,407.0,Byg9AR4YDB,3,HygLks1AFS,2.0
